GenomeID	Entry	Entry name	Status	Protein names	Gene names	Length	Proteomes
YER018C	P40014	SPC25_YEAST	reviewed	Kinetochore protein SPC25	SPC25 YER018C	221	UP000002311: Chromosome V
YER020W	P10823	GPA2_YEAST	reviewed	Guanine nucleotide-binding protein alpha-2 subunit (GP2-alpha)	GPA2 SSP101 YER020W	449	UP000002311: Chromosome V
YER022W	P32569	MED17_YEAST	reviewed	Mediator of RNA polymerase II transcription subunit 17 (Mediator complex subunit 17) (Suppressor of RNA polymerase B 4)	SRB4 MED17 YER022W	687	UP000002311: Chromosome V
YER025W	P32481	IF2G_YEAST	reviewed	Eukaryotic translation initiation factor 2 subunit gamma (eIF-2-gamma) (EC 3.6.5.3)	GCD11 SUI4 TIF213 YER025W	527	UP000002311: Chromosome V
YER029C	P40018	RSMB_YEAST	reviewed	Small nuclear ribonucleoprotein-associated protein B (snRNP-B) (Sm protein B) (Sm-B) (SmB)	SMB1 YER029C	196	UP000002311: Chromosome V
YER031C	P38555	YPT31_YEAST	reviewed	GTP-binding protein YPT31/YPT8 (Rab GTPase YPT31)	YPT31 YPT8 YER031C	223	UP000002311: Chromosome V
YER032W	P40020	FIR1_YEAST	reviewed	Factor interacting with REF2 (PAP1-interacting protein) (Polymerase-interacting protein 1)	FIR1 PIP1 YER032W	876	UP000002311: Chromosome V
YER033C	P40021	ZRG8_YEAST	reviewed	Zinc-regulated protein 8	ZRG8 YER033C	1076	UP000002311: Chromosome V
YER059W	P40038	PCL6_YEAST	reviewed	PHO85 cyclin-6	PCL6 YER059W	420	UP000002311: Chromosome V
YER070W	P21524	RIR1_YEAST	reviewed	Ribonucleoside-diphosphate reductase large chain 1 (EC 1.17.4.1) (Ribonucleotide reductase R1 subunit 1) (Ribonucleotide reductase large subunit 1)	RNR1 CRT7 RIR1 SDS12 YER070W	888	UP000002311: Chromosome V
YER090W	P00899	TRPE_YEAST	reviewed	Anthranilate synthase component 1 (EC 4.1.3.27) (Anthranilate synthase component I)	TRP2 YER090W	507	UP000002311: Chromosome V
YER094C	P25451	PSB3_YEAST	reviewed	Proteasome subunit beta type-3 (EC 3.4.25.1) (Macropain subunit PUP3) (Multicatalytic endopeptidase complex subunit PUP3) (Proteasome component PUP3)	PUP3 YER094C	205	UP000002311: Chromosome V
YER095W	P25454	RAD51_YEAST	reviewed	DNA repair protein RAD51	RAD51 YER095W	400	UP000002311: Chromosome V
YER107C	P40066	GLE2_YEAST	reviewed	Nucleoporin GLE2 (Nuclear pore protein GLE2) (poly(A) RNA export protein RAE1)	GLE2 RAE1 YER107C	365	UP000002311: Chromosome V
YER110C	P40069	IMB4_YEAST	reviewed	Importin subunit beta-4 (Importin-123) (Karyopherin subunit beta-4) (Karyopherin-123) (Ran-binding protein YRB4)	KAP123 YRB4 YER110C	1113	UP000002311: Chromosome V
YER111C	P25302	SWI4_YEAST	reviewed	Regulatory protein SWI4 (Cell-cycle box factor subunit SWI4) (Protein ART1)	SWI4 ART1 YER111C	1093	UP000002311: Chromosome V
YER112W	P40070	LSM4_YEAST	reviewed	U6 snRNA-associated Sm-like protein LSm4	LSM4 SDB23 USS1 YER112W	187	UP000002311: Chromosome V
YER114C	P39969	BOI2_YEAST	reviewed	Protein BOI2 (Protein BEB1)	BOI2 BEB1 YER114C	1040	UP000002311: Chromosome V
YER115C	Q01684	SPR6_YEAST	reviewed	Sporulation-specific protein (SPR6)	SPR6 YER115C	191	UP000002311: Chromosome V
YER117W	P0CX42	RL23B_YEAST	reviewed	60S ribosomal protein L23-B (L17a) (Large ribosomal subunit protein uL14-B) (YL32)	RPL23B RPL17AB RPL17B YER117W	137	UP000002311: Chromosome V
YER118C	P40073	SHO1_YEAST	reviewed	High osmolarity signaling protein SHO1 (Osmosensor SHO1) (Suppressor of SUA8-1 mutation) (Synthetic high osmolarity-sensitive protein 1)	SHO1 SSU81 YER118C	367	UP000002311: Chromosome V
YER122C	P38682	GLO3_YEAST	reviewed	ADP-ribosylation factor GTPase-activating protein GLO3 (ARF GAP GLO3)	GLO3 YER122C	493	UP000002311: Chromosome V
YER123W	P39962	KC13_YEAST	reviewed	Casein kinase I homolog 3 (EC 2.7.11.1)	YCK3 CKI3 YER123W	524	UP000002311: Chromosome V
YER124C	P40077	DSE1_YEAST	reviewed	Protein DSE1 (Daughter-specific expression protein 1)	DSE1 YER124C SYGP-ORF48	573	UP000002311: Chromosome V
YER125W	P39940	RSP5_YEAST	reviewed	E3 ubiquitin-protein ligase RSP5 (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase RSP5) (Reverses SPT-phenotype protein 5)	RSP5 MDP1 NPI1 YER125W SYGP-ORF41	809	UP000002311: Chromosome V
YER133W	P32598	PP12_YEAST	reviewed	Serine/threonine-protein phosphatase PP1-2 (EC 3.1.3.16)	GLC7 CID1 DIS2 YER133W	312	UP000002311: Chromosome V
YER136W	P39958	GDI1_YEAST	reviewed	Rab GDP-dissociation inhibitor (Rab GDI) (Secretory pathway GDP dissociation inhibitor)	GDI1 SEC19 YER136W	451	UP000002311: Chromosome V
YER146W	P40089	LSM5_YEAST	reviewed	U6 snRNA-associated Sm-like protein LSm5	LSM5 YER146W	93	UP000002311: Chromosome V
YER148W	P13393	TBP_YEAST	reviewed	TATA-box-binding protein (TATA sequence-binding protein) (TBP) (TATA-binding factor) (TATA-box factor) (Transcription factor D) (Transcription initiation factor TFIID TBP subunit)	SPT15 BTF1 TBP1 YER148W	240	UP000002311: Chromosome V
YER157W	P40094	COG3_YEAST	reviewed	Conserved oligomeric Golgi complex subunit 3 (COG complex subunit 3) (Component of oligomeric Golgi complex 3) (Protein SEC34)	COG3 GRD20 SEC34 YER157W	801	UP000002311: Chromosome V
YER158C	P40095	YEY8_YEAST	reviewed	Uncharacterized protein YER158C	YER158C	573	UP000002311: Chromosome V
YER159C	P40096	NCB1_YEAST	reviewed	Negative cofactor 2 complex subunit alpha (NC2 complex subunit alpha) (Transcription repressor BUR6)	BUR6 NCB1 YER159C	142	UP000002311: Chromosome V
YER161C	P06843	SPT2_YEAST	reviewed	Protein SPT2 (Negative regulator of Ty transcription)	SPT2 SIN1 SPM2 YER161C	333	UP000002311: Chromosome V
YER162C	P14736	RAD4_YEAST	reviewed	DNA repair protein RAD4	RAD4 YER162C	754	UP000002311: Chromosome V
YER165W	P04147	PABP_YEAST	reviewed	Polyadenylate-binding protein, cytoplasmic and nuclear (PABP) (Poly(A)-binding protein) (ARS consensus-binding protein ACBP-67) (Polyadenylate tail-binding protein)	PAB1 YER165W	577	UP000002311: Chromosome V
YER167W	P33306	BCK2_YEAST	reviewed	Protein BCK2 (Bypass of kinase C protein)	BCK2 CTR7 YER167W	851	UP000002311: Chromosome V
YER172C	P32639	BRR2_YEAST	reviewed	Pre-mRNA-splicing helicase BRR2 (EC 3.6.4.13) (Protein Snu246)	BRR2 RSS1 SNU246 YER172C SYGP-ORF66	2163	UP000002311: Chromosome V
YER176W	P32644	ECM32_YEAST	reviewed	Putative ATP-dependent RNA helicase ECM32 (EC 3.6.4.13) (DNA helicase B) (Hcs B) (DNA helicase III) (Extracellular mutant protein 32) (Helicase 1) (scHelI) (Modulator of translation termination protein 1)	ECM32 HEL1 MTT1 YER176W SYGP-ORF61	1121	UP000002311: Chromosome V
YER179W	P25453	DMC1_YEAST	reviewed	Meiotic recombination protein DMC1	DMC1 ISC2 YER179W	334	UP000002311: Chromosome V
YFL005W	P07560	SEC4_YEAST	reviewed	Ras-related protein SEC4 (Suppressor of RHO3 protein 6)	SEC4 SRO6 YFL005W	215	UP000002311: Chromosome VI
YFL008W	P32908	SMC1_YEAST	reviewed	Structural maintenance of chromosomes protein 1 (DA-box protein SMC1)	SMC1 CHL10 YFL008W	1225	UP000002311: Chromosome VI
YFL009W	P07834	CDC4_YEAST	reviewed	Cell division control protein 4 (E3 ubiquitin ligase complex SCF subunit CDC4) (F-box protein CDC4)	CDC4 YFL009W	779	UP000002311: Chromosome VI
YFL011W	P43581	HXT10_YEAST	reviewed	Hexose transporter HXT10	HXT10 YFL011W	546	UP000002311: Chromosome VI
YFL016C	P35191	MDJ1_YEAST	reviewed	DnaJ homolog 1, mitochondrial	MDJ1 YFL016C	511	UP000002311: Chromosome VI
YFL018C	P09624	DLDH_YEAST	reviewed	Dihydrolipoyl dehydrogenase, mitochondrial (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase) (Glycine decarboxylase complex subunit L) (Lipoamide dehydrogenase component of pyruvate dehydrogenase complex) (Pyruvate dehydrogenase complex E3 component)	LPD1 DHLP1 YFL018C	499	UP000002311: Chromosome VI
YFL022C	P15625	SYFA_YEAST	reviewed	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)	FRS2 YFL022C	503	UP000002311: Chromosome VI
YFL024C	P43572	EPL1_YEAST	reviewed	Enhancer of polycomb-like protein 1	EPL1 YFL024C	832	UP000002311: Chromosome VI
YFL029C	P43568	CAK1_YEAST	reviewed	Serine/threonine-protein kinase CAK1 (EC 2.7.11.22) (CDK-activating kinase)	CAK1 CIV1 YFL029C	368	UP000002311: Chromosome VI
YFL037W	P02557	TBB_YEAST	reviewed	Tubulin beta chain (Beta-tubulin)	TUB2 YFL037W	457	UP000002311: Chromosome VI
YFL038C	P01123	YPT1_YEAST	reviewed	GTP-binding protein YPT1 (Protein YP2) (Rab GTPase YPT1) (Transport GTPase YPT1)	YPT1 YP2 YFL038C	206	UP000002311: Chromosome VI
YFL039C	P60010	ACT_YEAST	reviewed	Actin	ACT1 ABY1 END7 YFL039C	375	UP000002311: Chromosome VI
YFL041W	P43561	FET5_YEAST	reviewed	Iron transport multicopper oxidase FET5 (EC 1.-.-.-)	FET5 YFL041W	622	UP000002311: Chromosome VI
YFL059W	P43545	SNZ3_YEAST	reviewed	Probable pyridoxal 5'-phosphate synthase subunit SNZ3 (PLP synthase subunit SNZ3) (EC 4.3.3.6) (PDX1 homolog 3) (Pdx1.3)	SNZ3 YFL059W	298	UP000002311: Chromosome VI
YFR002W	P34077	NIC96_YEAST	reviewed	Nucleoporin NIC96 (96 kDa nucleoporin-interacting component) (Nuclear pore protein NIC96)	NIC96 YFR002W	839	UP000002311: Chromosome VI
YFR003C	P43587	YPI1_YEAST	reviewed	Type 1 phosphatases regulator YPI1	YPI1 YFR003C	155	UP000002311: Chromosome VI
YFR009W	P43535	GCN20_YEAST	reviewed	Protein GCN20 (General control non-derepressible protein 20)	GCN20 YFR009W	752	UP000002311: Chromosome VI
YFR014C	P27466	KCC1_YEAST	reviewed	Calcium/calmodulin-dependent protein kinase I (EC 2.7.11.17)	CMK1 YFR014C	446	UP000002311: Chromosome VI
YFR028C	Q00684	CDC14_YEAST	reviewed	Tyrosine-protein phosphatase CDC14 (EC 3.1.3.48)	CDC14 OAF3 YFR028C	551	UP000002311: Chromosome VI
YFR031C	P38989	SMC2_YEAST	reviewed	Structural maintenance of chromosomes protein 2 (DA-box protein SMC2)	SMC2 YFR031C	1170	UP000002311: Chromosome VI
YFR033C	P00127	QCR6_YEAST	reviewed	Cytochrome b-c1 complex subunit 6, mitochondrial (Complex III subunit 6) (Complex III subunit VI) (Cytochrome c1 non-heme 17 kDa protein) (Mitochondrial hinge protein) (Ubiquinol-cytochrome c oxidoreductase subunit 6) (Ubiquinol-cytochrome c reductase 17 kDa protein)	QCR6 UCR6 YFR033C	147	UP000002311: Chromosome VI
YFR034C	P07270	PHO4_YEAST	reviewed	Phosphate system positive regulatory protein PHO4	PHO4 YFR034C	312	UP000002311: Chromosome VI
YFR037C	P43609	RSC8_YEAST	reviewed	Chromatin structure-remodeling complex protein RSC8 (Remodel the structure of chromatin complex subunit 8) (SWI3 homolog)	RSC8 SWH3 YFR037C	557	UP000002311: Chromosome VI
YFR050C	P30657	PSB7_YEAST	reviewed	Proteasome subunit beta type-7 (EC 3.4.25.1) (Macropain subunit PRE4) (Multicatalytic endopeptidase complex subunit PRE4) (Proteasome component PRE4) (Proteinase YSCE subunit PRE4)	PRE4 YFR050C	266	UP000002311: Chromosome VI
YFR051C	P43621	COPD_YEAST	reviewed	Coatomer subunit delta (Delta-coat protein) (Delta-COP)	RET2 YFR051C	546	UP000002311: Chromosome VI
YGL003C	P53197	CDH1_YEAST	reviewed	APC/C activator protein CDH1 (CDC20 homolog 1) (Homolog of CDC twenty 1)	CDH1 HCT1 YGL003C	566	UP000002311: Chromosome VII
YGL008C	P05030	PMA1_YEAST	reviewed	Plasma membrane ATPase 1 (EC 7.1.2.1) (Proton pump 1)	PMA1 YGL008C	918	UP000002311: Chromosome VII
YGL011C	P21243	PSA1_YEAST	reviewed	Proteasome subunit alpha type-1 (EC 3.4.25.1) (Macropain subunit C7-alpha) (Multicatalytic endopeptidase complex C7) (Proteasome component C7-alpha) (Proteasome component Y8) (Proteinase YSCE subunit 7) (SCL1 suppressor protein)	SCL1 PRC2 PRS2 YGL011C	252	UP000002311: Chromosome VII
YGL016W	P32767	KA122_YEAST	reviewed	Importin beta-like protein KAP122 (Karyopherin-122) (Pleiotropic drug resistance regulatory protein 6)	KAP122 PDR6 YGL016W	1081	UP000002311: Chromosome VII
YGL019W	P43639	CSK2B_YEAST	reviewed	Casein kinase II subunit beta (CK II beta)	CKB1 YGL019W	278	UP000002311: Chromosome VII
YGL023C	P53191	PIB2_YEAST	reviewed	Phosphatidylinositol 3-phosphate-binding protein 2	PIB2 YGL023C	635	UP000002311: Chromosome VII
YGL031C	P04449	RL24A_YEAST	reviewed	60S ribosomal protein L24-A (L30) (Large ribosomal subunit protein eL24-A) (RP29) (YL21)	RPL24A RP29 RPL30A YGL031C	155	UP000002311: Chromosome VII
YGL032C	P32781	AGA2_YEAST	reviewed	A-agglutinin-binding subunit	AGA2 YGL032C	87	UP000002311: Chromosome VII
YGL043W	P07273	TFS2_YEAST	reviewed	Transcription elongation factor S-II (DNA strand transfer protein alpha) (STP-alpha) (DNA strand transferase 1) (Pyrimidine pathway regulatory protein 2)	DST1 PPR2 YGL043W	309	UP000002311: Chromosome VII
YGL048C	Q01939	PRS8_YEAST	reviewed	26S proteasome regulatory subunit 8 homolog (Protein CIM3) (Protein SUG1) (Tat-binding protein TBY1)	RPT6 CIM3 CRL3 SUG1 TBPY TBY1 YGL048C	405	UP000002311: Chromosome VII
YGL049C	P39936	IF4F2_YEAST	reviewed	Eukaryotic initiation factor 4F subunit p130 (eIF-4F p130) (eIF4F p130) (eIF4G2) (mRNA cap-binding protein complex subunit p130)	TIF4632 YGL049C	914	UP000002311: Chromosome VII
YGL058W	P06104	UBC2_YEAST	reviewed	Ubiquitin-conjugating enzyme E2 2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 2) (Radiation sensitivity protein 6) (Ubiquitin carrier protein UBC2) (Ubiquitin-protein ligase UBC2)	RAD6 UBC2 YGL058W	172	UP000002311: Chromosome VII
YGL060W	P53169	YBP2_YEAST	reviewed	YAP1-binding protein 2 (YBP1 homolog protein 1)	YBP2 YBH1 YGL060W	641	UP000002311: Chromosome VII
YGL061C	P53168	DUO1_YEAST	reviewed	DASH complex subunit DUO1 (Death upon overproduction protein 1) (Outer kinetochore protein DUO1)	DUO1 YGL061C	247	UP000002311: Chromosome VII
YGL070C	P27999	RPB9_YEAST	reviewed	DNA-directed RNA polymerase II subunit RPB9 (RNA polymerase II subunit B9) (B12.6) (DNA-directed RNA polymerase II 14.2 kDa polypeptide) (DNA-directed RNA polymerase II subunit 9)	RPB9 YGL070C	122	UP000002311: Chromosome VII
YGL075C	P53159	MPS2_YEAST	reviewed	Monopolar spindle protein 2	MPS2 MMC1 YGL075C	387	UP000002311: Chromosome VII
YGL087C	P53152	MMS2_YEAST	reviewed	Ubiquitin-conjugating enzyme variant MMS2 (UEV MMS2)	MMS2 YGL087C	137	UP000002311: Chromosome VII
YGL090W	P53150	LIF1_YEAST	reviewed	Ligase-interacting factor 1	LIF1 YGL090W	421	UP000002311: Chromosome VII
YGL092W	P49687	NU145_YEAST	reviewed	Nucleoporin NUP145 (EC 3.4.21.-) (Nuclear pore protein NUP145) [Cleaved into: Nucleoporin NUP145N (N-NUP145); Nucleoporin NUP145C (C-NUP145)]	NUP145 RAT10 YGL092W	1317	UP000002311: Chromosome VII
YGL094C	P53010	PAN2_YEAST	reviewed	PAN2-PAN3 deadenylation complex catalytic subunit PAN2 (EC 3.1.13.4) (PAB1P-dependent poly(A)-specific ribonuclease) (Poly(A)-nuclease deadenylation complex subunit 2) (PAN deadenylation complex subunit 2)	PAN2 YGL094C	1115	UP000002311: Chromosome VII
YGL096W	P53147	TOS8_YEAST	reviewed	Homeobox protein TOS8 (Target of SBF 8)	TOS8 YGL096W	276	UP000002311: Chromosome VII
YGL103W	P02406	RL28_YEAST	reviewed	60S ribosomal protein L28 (L27a) (L29) (Large ribosomal subunit protein uL15) (RP44) (RP62) (YL24)	RPL28 CYH2 YGL103W	149	UP000002311: Chromosome VII
YGL106W	P53141	MLC1_YEAST	reviewed	Myosin light chain 1 (Calmodulin-like myosin light chain MLC1) (Myosin-2 light chain)	MLC1 YGL106W G3080	149	UP000002311: Chromosome VII
YGL116W	P26309	CDC20_YEAST	reviewed	APC/C activator protein CDC20 (Cell division control protein 20)	CDC20 YGL116W	610	UP000002311: Chromosome VII
YGL122C	P32505	NAB2_YEAST	reviewed	Nuclear polyadenylated RNA-binding protein NAB2	NAB2 YGL122C	525	UP000002311: Chromosome VII
YGL123W	P25443	RS2_YEAST	reviewed	40S ribosomal protein S2 (Omnipotent suppressor protein SUP44) (RP12) (S4) (Small ribosomal subunit protein uS5) (YS5)	RPS2 RPS4 SUP38 SUP44 YGL123W G2893	254	UP000002311: Chromosome VII
YGL130W	Q01159	MCE1_YEAST	reviewed	mRNA-capping enzyme subunit alpha (GTP--RNA guanylyltransferase) (GTase) (mRNA guanylyltransferase) (EC 2.7.7.50)	CEG1 YGL130W G2853	459	UP000002311: Chromosome VII
YGL133W	P53125	ITC1_YEAST	reviewed	Imitation switch two complex protein 1	ITC1 YGL133W G2842	1264	UP000002311: Chromosome VII
YGL135W	P0CX44	RL1B_YEAST	reviewed	60S ribosomal protein L1-B (L10a) (Large ribosomal subunit protein uL1-B)	RPL1B SSM1B SSM2 YGL135W G2834	217	UP000002311: Chromosome VII
YGL144C	P53118	ROG1_YEAST	reviewed	Putative lipase ROG1 (EC 3.1.-.-) (Revertant of glycogen synthase kinase mutation protein 1)	ROG1 YGL144C	685	UP000002311: Chromosome VII
YGL145W	P33891	TIP20_YEAST	reviewed	Protein transport protein TIP20	TIP20 TIP1 YGL145W	701	UP000002311: Chromosome VII
YGL147C	P05738	RL9A_YEAST	reviewed	60S ribosomal protein L9-A (L8) (Large ribosomal subunit protein uL6-A) (RP24) (YL11)	RPL9A RPL8A RPL9 YGL147C	191	UP000002311: Chromosome VII
YGL153W	P53112	PEX14_YEAST	reviewed	Peroxisomal membrane protein PEX14 (Peroxin-14)	PEX14 YGL153W G1870	341	UP000002311: Chromosome VII
YGL154C	P50113	LYS5_YEAST	reviewed	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase (AASD-PPT) (EC 2.7.8.7)	LYS5 YGL154C G1867	272	UP000002311: Chromosome VII
YGL155W	P18898	PGTB1_YEAST	reviewed	Geranylgeranyl transferase type-1 subunit beta (EC 2.5.1.59) (Cell division cycle protein 43) (Geranylgeranyl transferase type I subunit beta) (GGTase-I-beta) (RAS proteins geranylgeranyltransferase subunit beta) (Type I protein geranyl-geranyltransferase subunit beta) (PGGT)	CDC43 CAL1 YGL155W G1864	376	UP000002311: Chromosome VII
YGL161C	P53108	YIP5_YEAST	reviewed	Protein YIP5 (YPT-interacting protein 5)	YIP5 YGL161C G1832	310	UP000002311: Chromosome VII
YGL172W	Q02199	NUP49_YEAST	reviewed	Nucleoporin NUP49/NSP49 (Nuclear pore protein NUP49/NSP49)	NUP49 NSP49 YGL172W G1648	472	UP000002311: Chromosome VII
YGL173C	P22147	XRN1_YEAST	reviewed	5'-3' exoribonuclease 1 (EC 3.1.13.-) (DNA strand transfer protein beta) (STP-beta) (KAR(-)-enhancing mutation protein) (Strand exchange protein 1) (p175)	XRN1 DST2 KEM1 RAR5 SEP1 SKI1 YGL173C G1645	1528	UP000002311: Chromosome VII
YGL174W	P46947	CWC26_YEAST	reviewed	Pre-mRNA-splicing factor CWC26 (Bud site selection protein 13) (Complexed with CEF1 protein 26) (Synthetic lethal with CLF1 protein 7)	BUD13 CWC26 SLC7 YGL174W G1642	266	UP000002311: Chromosome VII
YGL178W	P39016	MPT5_YEAST	reviewed	Suppressor protein MPT5 (Protein HTR1) (Pumilio homology domain family member 5)	MPT5 HTR1 PUF5 YGL178W BIC834	859	UP000002311: Chromosome VII
YGL180W	P53104	ATG1_YEAST	reviewed	Serine/threonine-protein kinase ATG1 (EC 2.7.11.1) (Autophagy protein 3) (Autophagy-related protein 1) (Cytoplasm to vacuole targeting protein 10)	ATG1 APG1 AUT3 CVT10 YGL180W G1615	897	UP000002311: Chromosome VII
YGL181W	P40956	GTS1_YEAST	reviewed	Protein GTS1 (Protein LSR1)	GTS1 LSR1 YGL181W	396	UP000002311: Chromosome VII
YGL195W	P33892	GCN1_YEAST	reviewed	eIF-2-alpha kinase activator GCN1 (General control non-derepressible protein 1) (Translational activator GCN1)	GCN1 YGL195W G1318	2672	UP000002311: Chromosome VII
YGL206C	P22137	CLH_YEAST	reviewed	Clathrin heavy chain	CHC1 YGL206C	1653	UP000002311: Chromosome VII
YGL207W	P32558	SPT16_YEAST	reviewed	FACT complex subunit SPT16 (Cell division control protein 68) (Facilitates chromatin transcription complex subunit SPT16) (Suppressor of Ty protein 16)	SPT16 CDC68 SSF1 YGL207W	1035	UP000002311: Chromosome VII
YGL212W	P32912	VAM7_YEAST	reviewed	Vacuolar morphogenesis protein 7	VAM7 YGL212W	316	UP000002311: Chromosome VII
YGL215W	P35190	CLG1_YEAST	reviewed	PHO85 cyclin CLG1 (Cyclin-like G1 protein 1)	CLG1 YGL215W G1105	452	UP000002311: Chromosome VII
YGL223C	P53079	COG1_YEAST	reviewed	Conserved oligomeric Golgi complex subunit 1 (COG complex subunit 1) (Complexed with DOR1 protein 3) (Component of oligomeric Golgi complex 1) (Protein SEC36)	COG1 COD3 SEC36 TFI1 YGL223C	417	UP000002311: Chromosome VII
YGL233W	P22224	SEC15_YEAST	reviewed	Exocyst complex component SEC15	SEC15 YGL233W	910	UP000002311: Chromosome VII
YGL237C	P06774	HAP2_YEAST	reviewed	Transcriptional activator HAP2	HAP2 YGL237C	265	UP000002311: Chromosome VII
YGL238W	P33307	CSE1_YEAST	reviewed	Importin alpha re-exporter (Chromosome segregation protein CSE1)	CSE1 YGL238W HRC135	960	UP000002311: Chromosome VII
YGL241W	P53067	IMB5_YEAST	reviewed	Importin subunit beta-5 (114 kDa karyopherin) (Karyopherin subunit beta-5) (Karyopherin-114)	KAP114 YGL241W HRC1004	1004	UP000002311: Chromosome VII
YGL254W	P32805	FZF1_YEAST	reviewed	Zinc finger protein FZF1 (Sulfite resistance protein 1)	FZF1 SUL1 YGL254W NCR299	299	UP000002311: Chromosome VII
YGR002C	P53201	SWC4_YEAST	reviewed	SWR1-complex protein 4 (ESA1-associated factor 2)	SWC4 EAF2 GOD1 YGR002C	476	UP000002311: Chromosome VII
YGR005C	P41896	T2FB_YEAST	reviewed	Transcription initiation factor IIF subunit beta (TFIIF medium subunit) (TFIIF-beta) (Transcription factor G 54 kDa subunit)	TFG2 YGR005C	400	UP000002311: Chromosome VII
YGR006W	P33411	PRP18_YEAST	reviewed	Pre-mRNA-splicing factor 18	PRP18 YGR006W	251	UP000002311: Chromosome VII
YGR009C	P40357	SEC9_YEAST	reviewed	Protein transport protein SEC9	SEC9 HSS7 YGR009C	651	UP000002311: Chromosome VII
YGR032W	P40989	FKS2_YEAST	reviewed	1,3-beta-glucan synthase component GSC2 (EC 2.4.1.34) (1,3-beta-D-glucan-UDP glucosyltransferase) (FK506 sensitivity protein 2) (Glucan synthase of cerevisiae protein 2)	GSC2 FKS2 GLS2 YGR032W	1895	UP000002311: Chromosome VII
YGR040W	P14681	KSS1_YEAST	reviewed	Mitogen-activated protein kinase KSS1 (MAP kinase KSS1) (EC 2.7.11.24) (Kinase suppressor of SST2)	KSS1 YGR040W	368	UP000002311: Chromosome VII
YGR047C	P33339	TFC4_YEAST	reviewed	Transcription factor tau 131 kDa subunit (TFIIIC 131 kDa subunit) (Transcription factor C subunit 4)	TFC4 PCF1 YGR047C	1025	UP000002311: Chromosome VII
YGR048W	P53044	UFD1_YEAST	reviewed	Ubiquitin fusion degradation protein 1 (UB fusion protein 1) (Polymerase-interacting protein 3)	UFD1 PIP3 YGR048W	361	UP000002311: Chromosome VII
YGR060W	P53045	MSMO_YEAST	reviewed	Methylsterol monooxygenase (EC 1.14.18.9) (C-4 methylsterol oxidase)	ERG25 FET6 YGR060W	309	UP000002311: Chromosome VII
YGR072W	P48412	UPF3_YEAST	reviewed	Nonsense-mediated mRNA decay protein 3 (Up-frameshift suppressor 3)	UPF3 SUA6 YGR072W	387	UP000002311: Chromosome VII
YGR075C	Q00723	PRP38_YEAST	reviewed	Pre-mRNA-splicing factor 38 (Pre-mRNA-processing factor 38)	PRP38 YGR075C	242	UP000002311: Chromosome VII
YGR077C	P53248	PEX8_YEAST	reviewed	Peroxisomal biogenesis factor 8 (Peroxin-8) (Peroxisomal protein PAS6)	PEX8 PAS6 YGR077C	589	UP000002311: Chromosome VII
YGR082W	P35180	TOM20_YEAST	reviewed	Mitochondrial import receptor subunit TOM20 (Mitochondrial 20 kDa outer membrane protein) (Protein MAS20) (Translocase of outer membrane 20 kDa subunit)	TOM20 MAS20 MOM19 YGR082W	183	UP000002311: Chromosome VII
YGR098C	Q03018	ESP1_YEAST	reviewed	Separin (EC 3.4.22.49) (Separase)	ESP1 YGR098C	1630	UP000002311: Chromosome VII
YGR104C	P32585	MED18_YEAST	reviewed	Mediator of RNA polymerase II transcription subunit 18 (Mediator complex subunit 18) (Suppressor of RNA polymerase B 5)	SRB5 MED18 YGR104C	307	UP000002311: Chromosome VII
YGR108W	P24868	CG21_YEAST	reviewed	G2/mitotic-specific cyclin-1	CLB1 SCB1 YGR108W G5967	471	UP000002311: Chromosome VII
YGR109C	P32943	CGS6_YEAST	reviewed	S-phase entry cyclin-6	CLB6 YGR109C G5970	380	UP000002311: Chromosome VII
YGR113W	P53267	DAM1_YEAST	reviewed	DASH complex subunit DAM1 (DUO1 and MPS1-interacting protein 1) (Kinetochore assembly protein DAM1) (Outer kinetochore protein DAM1)	DAM1 YGR113W G6153	343	UP000002311: Chromosome VII
YGR118W	P0CX29	RS23A_YEAST	reviewed	40S ribosomal protein S23-A (RP37) (S28) (Small ribosomal subunit protein uS12-A) (YS14)	RPS23A RPS28A YGR118W G6178	145	UP000002311: Chromosome VII
YGR119C	P48837	NUP57_YEAST	reviewed	Nucleoporin NUP57 (Nuclear pore protein NUP57)	NUP57 YGR119C G6320	541	UP000002311: Chromosome VII
YGR120C	P53271	COG2_YEAST	reviewed	Conserved oligomeric Golgi complex subunit 2 (COG complex subunit 2) (Component of oligomeric Golgi complex 2) (Protein SEC35)	COG2 SEC35 YGR120C G6324	262	UP000002311: Chromosome VII
YGR129W	P53277	SYF2_YEAST	reviewed	Pre-mRNA-splicing factor SYF2 (PRP19 complex protein 31) (Synthetic lethal with CDC40 protein 2)	SYF2 NTC31 YGR129W	215	UP000002311: Chromosome VII
