GenomeID	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
YDR292C	P32916	SRPR_YEAST	reviewed	Signal recognition particle receptor subunit alpha homolog (SR-alpha) (Docking protein alpha) (DP-alpha)	SRP101 YDR292C D9819.3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	621
YDR296W	Q06630	MHR1_YEAST	reviewed	Mitochondrial homologous recombination protein 1 (Cross-linked transcription component 1) (Mitochondrial large ribosomal subunit protein mL67)	MHR1 XTC1 YDR296W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	226
YDR299W	Q06631	BFR2_YEAST	reviewed	Protein BFR2 (Brefeldin A resistance protein 2)	BFR2 YDR299W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	534
YDR300C	P32264	PROB_YEAST	reviewed	Glutamate 5-kinase (GK) (EC 2.7.2.11) (Gamma-glutamyl kinase)	PRO1 YDR300C D9740.12	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	428
YDR304C	P35176	CYPD_YEAST	reviewed	Peptidyl-prolyl cis-trans isomerase D (PPIase D) (EC 5.2.1.8) (Cyclophilin D) (Rotamase D)	CPR5 CYP5 CYPD YDR304C D9740.14	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	225
YDR308C	P47822	MED21_YEAST	reviewed	Mediator of RNA polymerase II transcription subunit 21 (Mediator complex subunit 21) (RNAPII complex component SRB7) (Suppressor of RNA polymerase B 7)	SRB7 MED21 YDR308C D9740.17	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	140
YDR311W	P32776	TFB1_YEAST	reviewed	General transcription and DNA repair factor IIH subunit TFB1 (TFIIH subunit TFB1) (RNA polymerase II transcription factor B 73 kDa subunit) (RNA polymerase II transcription factor B p73 subunit) (RNA polymerase II transcription factor B subunit 1)	TFB1 YDR311W D9740.3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	642
YDR312W	Q12153	SSF2_YEAST	reviewed	Ribosome biogenesis protein SSF2	SSF2 YDR312W D9740.2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	453
YDR313C	Q06651	PIB1_YEAST	reviewed	E3 ubiquitin-protein ligase PIB1 (EC 2.3.2.27) (Phosphatidylinositol 3-phosphate-binding protein 1) (RING-type E3 ubiquitin transferase PIB1)	PIB1 YDR313C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	286
YDR314C	Q06665	RAD34_YEAST	reviewed	DNA repair protein RAD34	RAD34 YDR314C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	692
YDR315C	Q06667	IPK1_YEAST	reviewed	Inositol-pentakisphosphate 2-kinase (EC 2.7.1.158) (Inositol-1,3,4,5,6-pentakisphosphate 2-kinase) (Ins(1,3,4,5,6)P5 2-kinase) (InsP5 2-kinase)	IPK1 GSL1 YDR315C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	281
YDR318W	Q06675	CENPO_YEAST	reviewed	Inner kinetochore subunit MCM21 (CENP-O homolog) (Chromosome transmission fidelity protein 5) (Constitutive centromere-associated network protein MCM21) (Minichromosome maintenance protein 21)	MCM21 CTF5 YDR318W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	368
YDR321W	P38986	ASPG1_YEAST	reviewed	L-asparaginase 1 (EC 3.5.1.1) (L-asparaginase I) (L-asparagine amidohydrolase I) (ASP I)	ASP1 YDR321W D9798.6	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	381
YDR323C	P32609	PEP7_YEAST	reviewed	Vacuolar segregation protein PEP7 (Carboxypeptidase Y-deficient protein 7) (Protein VAC1) (Vacuolar protein sorting-associated protein 19) (Vacuolar protein-targeting protein 19)	PEP7 VAC1 VPL21 VPS19 VPT19 YDR323C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	515
YDR326C	Q06681	YSP2_YEAST	reviewed	Membrane-anchored lipid-binding protein YSP2 (Lipid transfer at contact site protein 4) (Lipid transfer protein anchored at membrane contact sites 3) (Yeast suicide protein 2)	YSP2 LAM2 LTC4 YDR326C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1438
YDR328C	P52286	SKP1_YEAST	reviewed	Suppressor of kinetochore protein 1 (Centromere DNA-binding protein complex CBF3 subunit D) (E3 ubiquitin ligase complex SCF subunit SKP1)	SKP1 CBF3D YDR328C D9798.14	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	194
YDR330W	Q06682	UBX5_YEAST	reviewed	UBX domain-containing protein 5	UBX5 YDR330W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	500
YDR335W	P52918	MSN5_YEAST	reviewed	Protein MSN5	MSN5 YDR335W D9651.5	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1224
YDR348C	Q05518	PAL1_YEAST	reviewed	Protein PAL1 (Pears and lemons protein 1)	PAL1 YDR348C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	499
YDR353W	P29509	TRXB1_YEAST	reviewed	Thioredoxin reductase 1 (EC 1.8.1.9)	TRR1 YDR353W D9476.5	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	319
YDR357C	Q06333	BL1S4_YEAST	reviewed	Biogenesis of lysosome-related organelles complex 1 subunit CNL1 (BLOC-1 subunit CNL1) (CNO-like protein 1)	CNL1 YDR357C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	122
YDR361C	Q06338	BCP1_YEAST	reviewed	Protein BCP1	BCP1 YDR361C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	283
YDR364C	P40968	PRP17_YEAST	reviewed	Pre-mRNA-processing factor 17 (Cell division control protein 40)	CDC40 PRP17 SLU4 XRS2 YDR364C D9481.11	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	455
YDR366C	P87287	YD366_YEAST	reviewed	Uncharacterized protein YDR366C	YDR366C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	132
YDR372C	Q06385	VPS74_YEAST	reviewed	Vacuolar protein sorting-associated protein 74	VPS74 YDR372C D9481.15	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	345
YDR373W	Q06389	NCS1_YEAST	reviewed	Calcium-binding protein NCS-1	FRQ1 NCS1 YDR373W D9481.6	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	190
YDR374C	Q06390	MRB1_YEAST	reviewed	Methylated RNA-binding protein 1 (PHOsphate metabolism protein 92) (YTH domain-containing protein PHO92)	PHO92 MRB1 YDR374C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	306
YDR376W	P48360	ADRO_YEAST	reviewed	Probable NADPH:adrenodoxin oxidoreductase, mitochondrial (AR) (Adrenodoxin reductase) (EC 1.18.1.6) (Ferredoxin--NADP(+) reductase) (Ferredoxin reductase)	ARH1 YDR376W D9481.5	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	493
YDR378C	Q06406	LSM6_YEAST	reviewed	U6 snRNA-associated Sm-like protein LSm6	LSM6 YDR378C D9481.18	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	86
YDR381W	Q12159	YRA1_YEAST	reviewed	RNA annealing protein YRA1	YRA1 YDR381W D9481.2 D9509.1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	226
YDR382W	P02400	RLA4_YEAST	reviewed	60S acidic ribosomal protein P2-beta (L12eIA) (L45) (Large ribosomal subunit protein P2-B) (P2B) (YL44C) (YP2beta) (YPA1)	RPP2B L12EIA RPL45 RPLA4 YDR382W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	110
YDR383C	Q12493	NKP1_YEAST	reviewed	Inner kinetochore subunit NKP1 (Constitutive centromere-associated network protein NKP1) (Non-essential kinetochore protein 1)	NKP1 YDR383C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	238
YDR386W	Q04149	MUS81_YEAST	reviewed	Crossover junction endonuclease MUS81 (EC 3.1.22.-) (MMS and UV-sensitive protein 81)	MUS81 SLX3 YDR386W D9509.6	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	632
YDR388W	P39743	RV167_YEAST	reviewed	Reduced viability upon starvation protein 167	RVS167 YDR388W D9509.8	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	482
YDR389W	P17121	SAC7_YEAST	reviewed	GTPase-activating protein SAC7	SAC7 YDR389W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	654
YDR394W	P33298	PRS6B_YEAST	reviewed	26S proteasome regulatory subunit 6B homolog (Protein YNT1) (Tat-binding homolog 2)	RPT3 YNT1 YTA2 YDR394W D9509.14	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	428
YDR397C	Q92317	NCB2_YEAST	reviewed	Negative cofactor 2 complex subunit beta (NC2 complex subunit beta) (Transcriptional repressor YDR1)	NCB2 YDR1 YDR397C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	146
YDR398W	Q04177	UTP5_YEAST	reviewed	U3 small nucleolar RNA-associated protein 5 (U3 snoRNA-associated protein 5) (U three protein 5) (U3 protein 5 required for transcription) (t-UTP5)	UTP5 YDR398W D9509.17	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	643
YDR399W	Q04178	HPRT_YEAST	reviewed	Hypoxanthine-guanine phosphoribosyltransferase (HGPRT) (HGPRTase) (EC 2.4.2.8) (Bypass of repression by adenine protein 6)	HPT1 BRA6 YDR399W D9509.18	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	221
YDR400W	Q04179	URH1_YEAST	reviewed	Uridine nucleosidase (EC 3.2.2.3) (Uridine ribohydrolase)	URH1 YDR400W D9509.19	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	340
YDR408C	P04161	PUR3_YEAST	reviewed	Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) (5'-phosphoribosylglycinamide transformylase) (GAR transformylase) (GART)	ADE8 YDR408C D9509.26	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	214
YDR411C	Q12743	DFM1_YEAST	reviewed	DER1-like family member protein 1	DFM1 YDR411C D9461.2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	341
YDR412W	Q04031	RRP17_YEAST	reviewed	Ribosomal RNA-processing protein 17	RRP17 YDR412W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	235
YDR416W	Q04048	SYF1_YEAST	reviewed	Pre-mRNA-splicing factor SYF1 (PRP19-associated complex protein 90) (Synthetic lethal with CDC40 protein 1)	SYF1 NTC90 YDR416W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	859
YDR418W	P0CX54	RL12B_YEAST	reviewed	60S ribosomal protein L12-B (L15) (Large ribosomal subunit protein uL11-B) (YL23)	RPL12B RPL15A YDR418W D9461.7	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	165
YDR421W	Q04052	ARO80_YEAST	reviewed	Transcriptional activator ARO80	ARO80 YDR421W D9461.10	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	950
YDR422C	P32578	SIP1_YEAST	reviewed	SNF1 protein kinase subunit beta-1 (SNF1-interacting protein 1)	SIP1 YDR422C D9461.11	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	815
YDR423C	P24813	AP2_YEAST	reviewed	AP-1-like transcription factor YAP2 (Cadmium resistance protein 1) (Transcription factor CAD1)	CAD1 YAP2 YDR423C D9461.12	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	409
YDR424C	Q02647	DYL1_YEAST	reviewed	Dynein light chain 1, cytoplasmic	DYN2 SLC1 YDR424C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	92
YDR425W	Q04053	SNX41_YEAST	reviewed	Sorting nexin-41	SNX41 YDR425W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	625
YDR428C	Q04066	KFA_YEAST	reviewed	Kynurenine formamidase (KFA) (KFase) (EC 3.5.1.9) (Arylformamidase) (Biosynthesis of nicotinic acid protein 7) (N-formylkynurenine formamidase) (FKF)	BNA7 YDR428C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	261
YDR429C	Q04067	EIF3G_YEAST	reviewed	Eukaryotic translation initiation factor 3 subunit G (eIF3g) (Eukaryotic translation initiation factor 3 RNA-binding subunit) (eIF-3 RNA-binding subunit) (Translation initiation factor eIF3 p33 subunit) (eIF3 p33)	TIF35 YDR429C D9461.16	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	274
YDR431W	Q04069	YD431_YEAST	reviewed	Putative uncharacterized protein YDR431W	YDR431W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	103
YDR434W	Q04080	GPI17_YEAST	reviewed	GPI transamidase component GPI17	GPI17 YDR434W D9461.20	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	534
YDR439W	Q04087	LRS4_YEAST	reviewed	Monopolin complex subunit LRS4 (Loss of rDNA silencing protein 4)	LRS4 YDR439W D9461.25	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	347
YDR441C	P36973	APT2_YEAST	reviewed	Adenine phosphoribosyltransferase 2 (APRT 2) (EC 2.4.2.7)	APT2 YDR441C D9461.27	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	181
YDR446W	Q04110	ECM11_YEAST	reviewed	Protein ECM11 (Extracellular mutant protein 11)	ECM11 YDR446W D9461.31	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	302
YDR448W	Q02336	ADA2_YEAST	reviewed	Transcriptional adapter 2	ADA2 YDR448W D9461.33	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	434
YDR453C	Q04120	TSA2_YEAST	reviewed	Peroxiredoxin TSA2 (Prx) (EC 1.11.1.24) (Cytoplasmic thiol peroxidase 2) (cTPx 2) (Thiol-specific antioxidant protein 2) (Thioredoxin peroxidase type Ib) (TPx type Ib) (Thioredoxin-dependent peroxiredoxin TSA2)	TSA2 YDR453C D9461.38	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	196
YDR455C	P87271	YD455_YEAST	reviewed	Putative uncharacterized protein YDR455C	YDR455C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	102
YDR460W	Q03290	TFB3_YEAST	reviewed	RNA polymerase II transcription factor B subunit 3 (RNA polymerase II transcription factor B 38 kDa subunit) (RNA polymerase II transcription factor B p38 subunit)	TFB3 RIG2 YDR460W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	321
YDR465C	Q03305	RMT2_YEAST	reviewed	Protein arginine N-methyltransferase 2 (EC 2.1.1.-) (Protein-arginine N5-methyltransferase) (Type IV protein arginine N-methyltransferase) (Type IV PRMT)	RMT2 YDR465C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	412
YDR469W	Q03323	SDC1_YEAST	reviewed	COMPASS component SDC1 (Complex proteins associated with SET1 protein SDC1) (Set1C component SDC1) (Suppressor of CDC25 protein 1)	SDC1 CPS25 SAF19 YDR469W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	175
YDR472W	Q03337	TRS31_YEAST	reviewed	Trafficking protein particle complex subunit 31 (TRAPP subunit 31) (Transport protein particle 31 kDa subunit)	TRS31 YDR472W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	283
YDR473C	Q03338	PRP3_YEAST	reviewed	U4/U6 small nuclear ribonucleoprotein PRP3 (Pre-mRNA-splicing factor 3)	PRP3 RNA3 YDR473C D8035.16	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	469
YDR476C	Q03362	YD476_YEAST	reviewed	Uncharacterized protein YDR476C	YDR476C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	224
YDR477W	P06782	SNF1_YEAST	reviewed	Carbon catabolite-derepressing protein kinase (EC 2.7.11.1) (Sucrose nonfermentating protein 1)	SNF1 CAT1 CCR1 GLC2 PAS14 YDR477W D8035.20	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	633
YDR479C	Q03370	PEX29_YEAST	reviewed	Peroxisomal membrane protein PEX29 (Peroxin-29)	PEX29 YDR479C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	554
YDR480W	Q03373	DIG2_YEAST	reviewed	Down-regulator of invasive growth 2 (Regulator of STE12 protein 2) (Regulator of sterile twelve 2)	DIG2 RST2 YDR480W D8035.23	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	323
YDR482C	Q03375	CWC21_YEAST	reviewed	Pre-mRNA-splicing factor CWC21 (Complexed with CEF1 protein 21)	CWC21 YDR482C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	135
YDR486C	Q03390	VPS60_YEAST	reviewed	Vacuolar protein-sorting-associated protein 60 (Charged multivesicular body protein 5)	VPS60 CHM5 MOS10 YDR486C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	229
YDR487C	Q99258	RIB3_YEAST	reviewed	3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (EC 4.1.99.12)	RIB3 YDR487C D8035.30	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	208
YDR488C	P40960	PAC11_YEAST	reviewed	WD repeat-containing protein PAC11	PAC11 YDR488C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	533
YDR489W	Q03406	SLD5_YEAST	reviewed	DNA replication complex GINS protein SLD5	SLD5 YDR489W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	294
YDR490C	Q03407	PKH1_YEAST	reviewed	Serine/threonine-protein kinase PKH1 (EC 2.7.11.1) (3-phosphoinositide-dependent protein kinase 1)	PKH1 YDR490C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	766
YDR498C	P28791	SEC20_YEAST	reviewed	Protein transport protein SEC20	SEC20 YDR498C D9719.4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	383
YDR502C	P19358	METK2_YEAST	reviewed	S-adenosylmethionine synthase 2 (AdoMet synthase 2) (EC 2.5.1.6) (Methionine adenosyltransferase 2) (MAT 2)	SAM2 ETH2 YDR502C D9719.8	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	384
YDR503C	Q04396	LPP1_YEAST	reviewed	Lipid phosphate phosphatase 1 (EC 3.1.3.81) (Phosphatidate phosphatase) (EC 3.1.3.4)	LPP1 YDR503C D9719.9	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	274
YDR504C	Q04398	SPG3_YEAST	reviewed	Stationary phase protein 3	SPG3 YDR504C D9719.10	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	127
YDR505C	P50896	PSP1_YEAST	reviewed	Protein PSP1 (Growth inhibitory protein 5) (Polymerase suppressor protein 1)	PSP1 GIN5 YDR505C D9719.11	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	841
YDR508C	P48813	GNP1_YEAST	reviewed	High-affinity glutamine permease	GNP1 YDR508C D9719.14	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	663
YDR510W	Q12306	SMT3_YEAST	reviewed	Ubiquitin-like protein SMT3	SMT3 YDR510W D9719.15	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	101
YDR513W	P17695	GLRX2_YEAST	reviewed	Glutaredoxin-2 (EC 1.11.1.9) (EC 2.5.1.18) (Glutathione-dependent oxidoreductase 2) (Thioltransferase)	GRX2 TTR TTR1 YDR513W D9719.17	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	143
YDR516C	Q04409	EMI2_YEAST	reviewed	Putative glucokinase-2 (EC 2.7.1.2) (Early meiotic induction protein 2) (Glucose kinase 2) (GLK-2)	EMI2 YDR516C D9719.21	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	500
YDR518W	P32474	EUG1_YEAST	reviewed	Protein disulfide-isomerase EUG1 (PDI) (EC 5.3.4.1) (Endoplasmic reticulum protein EUG1)	EUG1 YDR518W D9719.23	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	517
YDR520C	Q04411	URC2_YEAST	reviewed	Uracil catabolism protein 2	URC2 YDR520C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	772
YDR526C	P87274	YD526_YEAST	reviewed	Putative uncharacterized protein YDR526C	YDR526C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	156
YDR527W	Q04418	RBA50_YEAST	reviewed	RNA polymerase II-associated protein RBA50 (RNA polymerase II-associated protein of 50 kDa)	RBA50 YDR527W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	439
YDR529C	P00128	QCR7_YEAST	reviewed	Cytochrome b-c1 complex subunit 7, mitochondrial (Complex III subunit 7) (Complex III subunit VII) (Ubiquinol-cytochrome c oxidoreductase subunit 7) (Ubiquinol-cytochrome c reductase 14 kDa protein)	QCR7 CRO1 UCR7 YDR529C D9719.32	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	127
YDR531W	Q04430	PANK_YEAST	reviewed	Pantothenate kinase CAB1 (EC 2.7.1.33) (Coenzyme A biosynthesis protein 1) (Pantothenic acid kinase CAB1)	CAB1 YDR531W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	367
YDR532C	Q04431	KRE28_YEAST	reviewed	Spindle pole body component KRE28	KRE28 YDR532C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	385
YDR533C	Q04432	HSP31_YEAST	reviewed	Glutathione-independent glyoxalase HSP31 (EC 4.2.1.130) (Glyoxalase 3 homolog 1) (Heat shock protein 31)	HSP31 YDR533C D9719.36	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	237
YDR541C	Q03049	YD541_YEAST	reviewed	Putative uncharacterized oxidoreductase YDR541C (EC 1.1.1.-)	YDR541C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	344
YEL005C	P40003	VAB2_YEAST	reviewed	Biogenesis of lysosome-related organelles complex 1 subunit VAB2 (BLOC-1 subunit VAB2) (VAC8-binding protein 2)	VAB2 VAB31 YEL005C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	282
YEL009C	P03069	GCN4_YEAST	reviewed	General control protein GCN4 (Amino acid biosynthesis regulatory protein)	GCN4 AAS3 ARG9 YEL009C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	281
YEL012W	P28263	UBC8_YEAST	reviewed	Ubiquitin-conjugating enzyme E2-24 kDa (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 8) (Glucose-induced degradation protein 3) (Ubiquitin carrier protein) (Ubiquitin-protein ligase)	UBC8 GID3 YEL012W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	218
YEL013W	P39968	VAC8_YEAST	reviewed	Vacuolar protein 8	VAC8 YEB3 YEL013W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	578
YEL015W	P39998	EDC3_YEAST	reviewed	Enhancer of mRNA-decapping protein 3	EDC3 LSM16 YEL015W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	551
YEL017W	P39996	GTT3_YEAST	reviewed	Glutathione transferase 3	GTT3 YEL017W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	337
YEL018W	P39995	EAF5_YEAST	reviewed	Chromatin modification-related protein EAF5 (ESA1-associated factor 5)	EAF5 YEL018W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	279
YEL020C	P39994	PXP1_YEAST	reviewed	Putative 2-hydroxyacyl-CoA lyase (EC 4.1.-.-) (Peroxisomal protein 1)	PXP1 YEL020C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	560
YEL023C	P39992	YEC3_YEAST	reviewed	Uncharacterized protein YEL023C	YEL023C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	682
YEL029C	P39988	BUD16_YEAST	reviewed	Putative pyridoxal kinase BUD16 (EC 2.7.1.35) (Bud site selection protein 16)	BUD16 YEL029C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	312
YEL032W	P24279	MCM3_YEAST	reviewed	DNA replication licensing factor MCM3 (EC 3.6.4.12) (Minichromosome maintenance protein 3)	MCM3 YEL032W SYGP-ORF23	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	971
YEL034W	P23301	IF5A1_YEAST	reviewed	Eukaryotic translation initiation factor 5A-1 (eIF-5A-1) (Hypusine-containing protein HP2) (eIF-4D)	HYP2 TIF51A YEL034W SYGP-ORF21	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	157
YEL041W	P32622	YEF1_YEAST	reviewed	ATP-NADH kinase YEF1 (EC 2.7.1.86)	YEF1 YEL041W SYGP-ORF17	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	495
YEL042W	P32621	GDA1_YEAST	reviewed	Guanosine-diphosphatase (GDPase) (EC 3.6.1.42)	GDA1 YEL042W SYGP-ORF16	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	518
YEL043W	P32618	YEF3_YEAST	reviewed	Uncharacterized protein YEL043W	YEL043W SYGP-ORF14	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	956
YEL048C	P32613	TCA17_YEAST	reviewed	TRAPP-associated protein TCA17 (17 kDa TRAPP complex-associated protein)	TCA17 YEL048C SYGP-ORF36	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	152
YEL051W	P32610	VATD_YEAST	reviewed	V-type proton ATPase subunit D (V-ATPase subunit D) (Vacuolar proton pump subunit D)	VMA8 YEL051W SYGP-ORF11	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	256
YEL053C	Q02197	NAA35_YEAST	reviewed	N-alpha-acetyltransferase 35, NatC auxiliary subunit (Glucose repressible protein MAK10) (L-A virus GAG protein N-acetyltransferase subunit MAK10) (Maintenance of killer protein 10) (N-terminal acetyltransferase C complex subunit MAK10) (NatC complex subunit MAK10)	MAK10 NAA35 YEL053C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	733
